2026-09-07 10:15:45 IST | INFO     | ProcessLogBridge:_ensure_root_configured:229 - Runner logging initialized (rich console enabled)
2026-09-07 10:15:46 IST | INFO     | nsflow:_log:823 - nsflow - INFO:     Will watch for changes in these directories: ['/home/ec2-user/neuro-san-hackathon']
2026-09-07 10:15:46 IST | INFO     | nsflow:_log:823 - nsflow - INFO:     Uvicorn running on http://0.0.0.0:8091 (Press CTRL+C to quit)
2026-09-07 10:15:46 IST | INFO     | nsflow:_log:823 - nsflow - INFO:     Started reloader process [2494] using StatReload
2026-09-07 10:15:53 IST | INFO     | NeuroSan:_log:823 - NeuroSan - Loading plugin: ProcessLogBridgePlugin from module: neuro_san_studio.plugins.log_bridge.process_log_bridge_plugin
2026-09-07 10:15:53 IST | INFO     | NeuroSan:_log:823 - NeuroSan - Loaded plugin: ProcessLogBridgePlugin Plugin
2026-09-07 10:15:53 IST | INFO     | NeuroSan:_log:823 - NeuroSan - Initializing plugin: ProcessLogBridgePlugin Plugin
2026-09-07 10:15:53 IST | INFO     | NeuroSan:_log:823 - NeuroSan - [ProcessLogBridgePlugin] Initializing (PID=2497)
2026-09-07 10:15:53 IST | INFO     | NeuroSan:_log:823 - NeuroSan - [ProcessLogBridgePlugin] Initialized (PID=2497)
2026-09-07 10:15:54 IST | INFO     | nsflow:_log:823 - nsflow - /home/ec2-user/neuro-san-hackathon/.venv/lib64/python3.12/site-packages/jwt/api_jwt.py:147: InsecureKeyLengthWarning: The HMAC key is 14 bytes long, which is below the minimum recommended length of 32 bytes for SHA256. See RFC 7518 Section 3.2.
2026-09-07 10:15:54 IST | INFO     | nsflow:_log:823 - nsflow -   return self._jws.encode(
2026-09-07 10:15:54 IST | INFO     | nsflow:_log:823 - nsflow - /home/ec2-user/neuro-san-hackathon/.venv/lib64/python3.12/site-packages/pydub/utils.py:170: RuntimeWarning: Couldn't find ffmpeg or avconv - defaulting to ffmpeg, but may not work
2026-09-07 10:15:54 IST | INFO     | nsflow:_log:823 - nsflow -   warn("Couldn't find ffmpeg or avconv - defaulting to ffmpeg, but may not work", RuntimeWarning)
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - 2026-09-07 10:15:55 - root - INFO - frontend_dist_path: /home/ec2-user/neuro-san-hackathon/.venv/lib64/python3.12/site-packages/nsflow/prebuilt_frontend/dist
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - 2026-09-07 10:15:55 - root - INFO - Serving frontend from: /home/ec2-user/neuro-san-hackathon/.venv/lib64/python3.12/site-packages/nsflow/prebuilt_frontend/dist
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - INFO:     Started server process [2501]
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - INFO:     Waiting for application startup.
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - 2026-09-07 10:15:55 - root - INFO - FastAPI is starting up...
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - 2026-09-07 10:15:55 - root - INFO - Initializing NeuroSan config from environment variables...
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - 2026-09-07 10:15:55 - root - INFO - [Startup] Default NsConfig set to http://localhost:8090
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - 2026-09-07 10:15:55 - root - INFO - Initializing local database 'nss_local.db'...
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - 2026-09-07 10:15:55 - root - INFO - Local database 'nss_local.db' initialized
2026-09-07 10:15:55 IST | INFO     | nsflow:_log:823 - nsflow - INFO:     Application startup complete.
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan - Manifest file /home/ec2-user/neuro-san-hackathon/registries/manifest.hocon restored in 7.88 seconds.
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan - Reading /home/ec2-user/neuro-san-hackathon/.venv/lib/python3.12/site-packages/neuro_san/deploy/logging.hocon
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan - GIL state at server startup:  standard CPython build (GIL always enabled). CPython 3.12.12.  PYTHON_GIL=unset
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Using Authorizer: neuro_san.service.authorization.null.always_yes_authorizer.AlwaysYesAuthorizer
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan - >>>>>>>>>>>> Enabling MCP service...
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Added agent music_nerd to allowed http service list
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: ADDED network for agent music_nerd (4638 bytes): 281472946553056
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Added agent decommission_readiness to allowed http service list
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: ADDED network for agent decommission_readiness (31900 bytes): 281472946232528
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Starting 1 worker processes (worker_id=0, pid=2497)
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: HTTP server is running 1 instances on port 8090 with backlog 128
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: HTTP server idle connections timeout: 3600 seconds
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: HTTP server is shutting down after 1081115 requests
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: MCP server is running protocol 2025-06-18
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Starting StorageWatcher with 5 seconds period
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Starting RegistryStorageUpdater for ['/home/ec2-user/neuro-san-hackathon/registries/manifest.hocon'] with 5 seconds period
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Registry polling watchdog started on: /home/ec2-user/neuro-san-hackathon/registries for manifest ['/home/ec2-user/neuro-san-hackathon/registries/manifest.hocon'] with polling every 1 sec
2026-09-07 10:16:01 IST | INFO     | NeuroSan:_log:823 - NeuroSan:HttpServer: Starting TempNetworkStorageUpdater
